[0.000000] (-) TimerEvent: {}
[0.000558] (-) JobUnselected: {'identifier': 'gxf_isaac_tensor_rt'}
[0.000568] (-) JobUnselected: {'identifier': 'gxf_isaac_tensorops'}
[0.000577] (-) JobUnselected: {'identifier': 'gxf_isaac_timestamp_correlator'}
[0.000587] (-) JobUnselected: {'identifier': 'gxf_isaac_triton'}
[0.000596] (-) JobUnselected: {'identifier': 'gxf_isaac_utils'}
[0.000605] (-) JobUnselected: {'identifier': 'isaac_common'}
[0.000615] (-) JobUnselected: {'identifier': 'isaac_common_py'}
[0.000624] (-) JobUnselected: {'identifier': 'isaac_ros_apriltag_interfaces'}
[0.000633] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_interfaces'}
[0.000643] (-) JobUnselected: {'identifier': 'isaac_ros_common'}
[0.000652] (-) JobUnselected: {'identifier': 'isaac_ros_depth_image_proc'}
[0.000661] (-) JobUnselected: {'identifier': 'isaac_ros_dnn_image_encoder'}
[0.000671] (-) JobUnselected: {'identifier': 'isaac_ros_dope'}
[0.000681] (-) JobUnselected: {'identifier': 'isaac_ros_foundationpose'}
[0.000690] (-) JobUnselected: {'identifier': 'isaac_ros_gxf'}
[0.000699] (-) JobUnselected: {'identifier': 'isaac_ros_image_pipeline'}
[0.000708] (-) JobUnselected: {'identifier': 'isaac_ros_image_proc'}
[0.000717] (-) JobUnselected: {'identifier': 'isaac_ros_launch_utils'}
[0.000727] (-) JobUnselected: {'identifier': 'isaac_ros_managed_nitros'}
[0.000736] (-) JobUnselected: {'identifier': 'isaac_ros_nitros'}
[0.000745] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_battery_state_type'}
[0.000754] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_interfaces'}
[0.000764] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_ros2'}
[0.000773] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_camera_info_type'}
[0.000783] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_image_type'}
[0.000792] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_video_type'}
[0.000801] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_correlated_timestamp_type'}
[0.000833] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection2_d_array_type'}
[0.000843] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection3_d_array_type'}
[0.000853] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_disparity_image_type'}
[0.000862] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_encoder_ticks_type'}
[0.000871] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_flat_scan_type'}
[0.000881] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_image_type'}
[0.000892] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_imu_type'}
[0.000902] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_occupancy_grid_type'}
[0.000911] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_odometry_type'}
[0.000920] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_point_cloud_type'}
[0.000930] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_array_type'}
[0.000939] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_cov_stamped_type'}
[0.000949] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_std_msg_type'}
[0.000958] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_tensor_list_type'}
[0.000968] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_topic_tools'}
[0.000977] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_twist_type'}
[0.000987] (-) JobUnselected: {'identifier': 'isaac_ros_nova_interfaces'}
[0.000996] (-) JobUnselected: {'identifier': 'isaac_ros_pointcloud_interfaces'}
[0.001006] (-) JobUnselected: {'identifier': 'isaac_ros_pose_proc'}
[0.001015] (-) JobUnselected: {'identifier': 'isaac_ros_pynitros'}
[0.001030] (-) JobUnselected: {'identifier': 'isaac_ros_r2b_galileo'}
[0.001040] (-) JobUnselected: {'identifier': 'isaac_ros_rosbag_utils'}
[0.001049] (-) JobUnselected: {'identifier': 'isaac_ros_stereo_image_proc'}
[0.001059] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_list_interfaces'}
[0.001068] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_proc'}
[0.001078] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_rt'}
[0.001087] (-) JobUnselected: {'identifier': 'isaac_ros_test'}
[0.001096] (-) JobUnselected: {'identifier': 'isaac_ros_test_cmake'}
[0.001105] (-) JobUnselected: {'identifier': 'isaac_ros_triton'}
[0.001116] (isaac_ros_centerpose) JobQueued: {'identifier': 'isaac_ros_centerpose', 'dependencies': OrderedDict([('isaac_ros_common', '/workspaces/isaac_ros-dev/install/isaac_ros_common'), ('isaac_ros_gxf', '/workspaces/isaac_ros-dev/install/isaac_ros_gxf'), ('isaac_ros_tensor_list_interfaces', '/workspaces/isaac_ros-dev/install/isaac_ros_tensor_list_interfaces'), ('isaac_ros_test', '/workspaces/isaac_ros-dev/install/isaac_ros_test'), ('gxf_isaac_gems', '/workspaces/isaac_ros-dev/install/gxf_isaac_gems'), ('gxf_isaac_image_flip', '/workspaces/isaac_ros-dev/install/gxf_isaac_image_flip'), ('gxf_isaac_message_compositor', '/workspaces/isaac_ros-dev/install/gxf_isaac_message_compositor'), ('gxf_isaac_optimizer', '/workspaces/isaac_ros-dev/install/gxf_isaac_optimizer'), ('gxf_isaac_sight', '/workspaces/isaac_ros-dev/install/gxf_isaac_sight'), ('gxf_isaac_triton', '/workspaces/isaac_ros-dev/install/gxf_isaac_triton'), ('gxf_isaac_atlas', '/workspaces/isaac_ros-dev/install/gxf_isaac_atlas'), ('gxf_isaac_gxf_helpers', '/workspaces/isaac_ros-dev/install/gxf_isaac_gxf_helpers'), ('gxf_isaac_messages', '/workspaces/isaac_ros-dev/install/gxf_isaac_messages'), ('gxf_isaac_tensorops', '/workspaces/isaac_ros-dev/install/gxf_isaac_tensorops'), ('isaac_ros_nitros', '/workspaces/isaac_ros-dev/install/isaac_ros_nitros'), ('gxf_isaac_tensor_rt', '/workspaces/isaac_ros-dev/install/gxf_isaac_tensor_rt'), ('isaac_ros_nitros_camera_info_type', '/workspaces/isaac_ros-dev/install/isaac_ros_nitros_camera_info_type'), ('isaac_ros_nitros_detection3_d_array_type', '/workspaces/isaac_ros-dev/install/isaac_ros_nitros_detection3_d_array_type'), ('isaac_ros_nitros_image_type', '/workspaces/isaac_ros-dev/install/isaac_ros_nitros_image_type'), ('isaac_ros_nitros_tensor_list_type', '/workspaces/isaac_ros-dev/install/isaac_ros_nitros_tensor_list_type'), ('gxf_isaac_centerpose', '/workspaces/isaac_ros-dev/install/gxf_isaac_centerpose'), ('isaac_ros_managed_nitros', '/workspaces/isaac_ros-dev/install/isaac_ros_managed_nitros'), ('isaac_ros_tensor_rt', '/workspaces/isaac_ros-dev/install/isaac_ros_tensor_rt'), ('isaac_ros_triton', '/workspaces/isaac_ros-dev/install/isaac_ros_triton'), ('isaac_ros_image_proc', '/workspaces/isaac_ros-dev/install/isaac_ros_image_proc'), ('isaac_ros_tensor_proc', '/workspaces/isaac_ros-dev/install/isaac_ros_tensor_proc'), ('isaac_ros_dnn_image_encoder', '/workspaces/isaac_ros-dev/install/isaac_ros_dnn_image_encoder')])}
[0.001152] (isaac_ros_centerpose) JobStarted: {'identifier': 'isaac_ros_centerpose'}
[0.014592] (isaac_ros_centerpose) JobEnded: {'identifier': 'isaac_ros_centerpose', 'rc': 1}
[0.025181] (-) EventReactorShutdown: {}
